	name	clade	strain
0	MG642037_USA_1980	B.1	MG642037
1	MG642047_USA_1980	B.1	MG642047
2	MG642065_USA_1981	B.1	MG642065
3	MG642078_USA_1982	B.1	MG642078
4	MG642025_USA_1982	B.1	MG642025
5	MG642044_USA_1982	B.1	MG642044
6	MG642059_USA_1983	B.1	MG642059
7	MG642045_USA_1979	B.1	MG642045
8	MG642027_USA_1991	B.2	MG642027
9	MG642054_USA_1991	B.2	MG642054
10	MG642072_USA_1991	B.2	MG642072
11	EPI-ISL-15771625_USA_1991	B.2	EPI-ISL-15771625
12	MG642036_USA_1989	B.2	MG642036
13	MG642082_USA_1989	B.2	MG642082
14	MG642066_USA_1990	B.2	MG642066
15	MG642046_USA_1984	B.2	MG642046
16	MG642043_USA_1982	B.2	MG642043
17	MG642042_USA_1985	B.2	MG642042
18	MG642057_USA_1984	B.2	MG642057
19	MG642039_USA_1985	B.2	MG642039
20	MG642051_USA_1986	B.2	MG642051
21	MG642076_USA_1987	B.2	MG642076
22	MG642068_USA_1987	B.2	MG642068
23	EPI-ISL-15771618_USA_1995	B.3	EPI-ISL-15771618
24	MG642064_USA_1995	B.3	MG642064
25	EPI-ISL-15771617_USA_1990	B.3	EPI-ISL-15771617
26	EPI-ISL-15771626_USA_1994	B.3	EPI-ISL-15771626
27	EPI-ISL-15771628_USA_1994	B.3	EPI-ISL-15771628
28	MG642062_USA_1996	B.3	MG642062
29	EPI-ISL-15771621_USA_1992	B.3	EPI-ISL-15771621
30	MG642049_USA_1993	B.3	MG642049
31	EPI-ISL-15820265_Canada_1995	B4	EPI-ISL-15820265
32	EPI-ISL-15771622_USA_1992	B4	EPI-ISL-15771622
33	EPI-ISL-15771630_USA_1994	B4	EPI-ISL-15771630
34	EPI-ISL-15751945_USA_2005	B.D	EPI-ISL-15751945
35	EPI-ISL-15751944_USA_2005	B.D	EPI-ISL-15751944
36	EPI-ISL-6494896_England_2008	B.D	EPI-ISL-6494896
37	MH594451_Kenya_2010	B.D	MH594451
38	EPI-ISL-15751949_Kenya_2007	B.D	EPI-ISL-15751949
39	EPI-ISL-15751997_Brazil_2009	B.D	EPI-ISL-15751997
40	OK649721_Brazil_2009	B.D	OK649721
41	OK649702_Brazil_2009	B.D	OK649702
42	EPI-ISL-15751957_Brazil_2010	B.D	EPI-ISL-15751957
43	OK649707_Brazil_2009	B.D	OK649707
44	EPI-ISL-15751950_Brazil_2010	B.D	EPI-ISL-15751950
45	EPI-ISL-15751954_Brazil_2010	B.D	EPI-ISL-15751954
46	OK649706_Brazil_2009	B.D	OK649706
47	OK649711_Brazil_2009	B.D	OK649711
48	EPI-ISL-15752003_Brazil_2008	B.D	EPI-ISL-15752003
49	OK649698_Brazil_2009	B.D	OK649698
50	OK649713_Brazil_2009	B.D	OK649713
51	OK649725_Brazil_2010	B.D	OK649725
52	OK649709_Brazil_2009	B.D	OK649709
53	EPI-ISL-15752001_Brazil_2009	B.D	EPI-ISL-15752001
54	MH594443_Kenya_2010	B.D	MH594443
55	MH594444_Kenya_2010	B.D	MH594444
56	MH594461_Kenya_2010	B.D	MH594461
57	MH594454_Kenya_2010	B.D	MH594454
58	MH594460_Kenya_2010	B.D	MH594460
59	MH594457_Kenya_2010	B.D	MH594457
60	MH594452_Kenya_2010	B.D	MH594452
61	MH594429_Kenya_2010	B.D	MH594429
62	MH594369_Kenya_2010	B.D	MH594369
63	MH594370_Kenya_2010	B.D	MH594370
64	MH594367_Kenya_2010	B.D	MH594367
65	MH594352_Kenya_2010	B.D	MH594352
66	MH594350_Kenya_2010	B.D	MH594350
67	MH594414_Kenya_2010	B.D	MH594414
68	MH594418_Kenya_2010	B.D	MH594418
69	MH594410_Kenya_2010	B.D	MH594410
70	MH594402_Kenya_2010	B.D	MH594402
71	MH594435_Kenya_2010	B.D	MH594435
72	MH594416_Kenya_2010	B.D	MH594416
73	MH594409_Kenya_2010	B.D	MH594409
74	MH594423_Kenya_2010	B.D	MH594423
75	MH594415_Kenya_2010	B.D	MH594415
76	MH594420_Kenya_2010	B.D	MH594420
77	MH594413_Kenya_2010	B.D	MH594413
78	MH594417_Kenya_2010	B.D	MH594417
79	MH594404_Kenya_2010	B.D	MH594404
80	MH594407_Kenya_2010	B.D	MH594407
81	MH594381_Kenya_2010	B.D	MH594381
82	MH594386_Kenya_2010	B.D	MH594386
83	MH594383_Kenya_2010	B.D	MH594383
84	MH594389_Kenya_2010	B.D	MH594389
85	MH594365_Kenya_2010	B.D	MH594365
86	MH594379_Kenya_2010	B.D	MH594379
87	MH594373_Kenya_2010	B.D	MH594373
88	MH594371_Kenya_2010	B.D	MH594371
89	MH594387_Kenya_2010	B.D	MH594387
90	EPI-ISL-15751948_Kenya_2007	B.D	EPI-ISL-15751948
91	EPI-ISL-15751946_Kenya_2009	B.D	EPI-ISL-15751946
92	EPI-ISL-15751947_Kenya_2008	B.D	EPI-ISL-15751947
93	EPI-ISL-6494898_England_2008	B.D	EPI-ISL-6494898
94	EPI-ISL-15752004_Brazil_2008	B.D	EPI-ISL-15752004
95	EPI-ISL-15752002_Brazil_2008	B.D	EPI-ISL-15752002
96	MK109765_Jordan_2011	B.D	MK109765
97	MK109769_Jordan_2011	B.D	MK109769
98	MK109789_Jordan_2011	B.D	MK109789
99	EPI-ISL-6494932_England_2010	B.D	EPI-ISL-6494932
100	MK109781_Jordan_2011	B.D	MK109781
101	EPI-ISL-6494926_England_2009	B.D	EPI-ISL-6494926
102	MK109770_Jordan_2010	B.D	MK109770
103	EPI-ISL-6494902_England_2008	B.D	EPI-ISL-6494902
104	EPI-ISL-6494906_England_2009	B.D	EPI-ISL-6494906
105	EPI-ISL-15751995_Brazil_2009	B.D	EPI-ISL-15751995
106	OK649714_Brazil_2009	B.D	OK649714
107	OK649719_Brazil_2009	B.D	OK649719
108	EPI-ISL-6494933_England_2010	B.D.1	EPI-ISL-6494933
109	EPI-ISL-6494900_England_2008	B.D.1	EPI-ISL-6494900
110	KY249662_United-Kingdom_2013	B.D.1	KY249662
111	OK649699_Brazil_2009	B.D.1	OK649699
112	EPI-ISL-6494923_England_2009	B.D.1	EPI-ISL-6494923
113	KY249659_United-Kingdom_2013	B.D.1	KY249659
114	EPI-ISL-6494910_England_2009	B.D.1	EPI-ISL-6494910
115	EPI-ISL-6494924_England_2009	B.D.1	EPI-ISL-6494924
116	EPI-ISL-6494914_England_2009	B.D.1	EPI-ISL-6494914
117	MH594445_Kenya_2010	B.D.1	MH594445
118	MH594450_Kenya_2010	B.D.1	MH594450
119	MH594447_Kenya_2010	B.D.1	MH594447
120	MH594430_Kenya_2010	B.D.1	MH594430
121	MH594433_Kenya_2010	B.D.1	MH594433
122	MH594431_Kenya_2010	B.D.1	MH594431
123	MF001042_USA_2015	B.D.1	MF001042
124	EPI-ISL-6494918_England_2009	B.D.1	EPI-ISL-6494918
125	EPI-ISL-15004436_Morocco_2012	B.D.1.1	EPI-ISL-15004436
126	EPI-ISL-15004437_Morocco_2012	B.D.1.1	EPI-ISL-15004437
127	EPI-ISL-15004434_Morocco_2012	B.D.1.1	EPI-ISL-15004434
128	ON237101_Argentina_2014	B.D.1.1	ON237101
129	ON237110_Argentina_2014	B.D.1.1	ON237110
130	ON237120_Argentina_2014	B.D.1.1	ON237120
131	KY249661_United-Kingdom_2013	B.D.1.1	KY249661
132	KY249666_United-Kingdom_2013	B.D.1.1	KY249666
133	KY249674_United-Kingdom_2012	B.D.1.1	KY249674
134	EPI-ISL-15004432_Morocco_2012	B.D.1.1	EPI-ISL-15004432
135	ON237115_Argentina_2014	B.D.1.1	ON237115
136	ON237117_Argentina_2014	B.D.1.1	ON237117
137	EPI-ISL-15751994_Brazil_2009	B.D	EPI-ISL-15751994
138	EPI-ISL-15751993_Brazil_2009	B.D	EPI-ISL-15751993
139	OK649703_Brazil_2009	B.D	OK649703
140	OK649715_Brazil_2009	B.D	OK649715
141	OK649720_Brazil_2009	B.D	OK649720
142	EPI-ISL-6494917_England_2009	B.D	EPI-ISL-6494917
143	EPI-ISL-6494905_England_2009	B.D	EPI-ISL-6494905
144	MK453523_USA_2009	B.D	MK453523
145	OK649722_Brazil_2010	B.D	OK649722
146	EPI-ISL-15751953_Brazil_2010	B.D	EPI-ISL-15751953
147	MF001044_USA_2015	B.D	MF001044
148	OK649700_Brazil_2009	B.D	OK649700
149	ON237143_Argentina_2015	B.D.2	ON237143
150	ON237164_Argentina_2015	B.D.2	ON237164
151	ON237145_Argentina_2015	B.D.2	ON237145
152	ON237086_Argentina_2014	B.D.2	ON237086
153	ON237096_Argentina_2014	B.D.2	ON237096
154	ON237105_Argentina_2014	B.D.2	ON237105
155	ON237124_Argentina_2014	B.D.2	ON237124
156	ON237119_Argentina_2014	B.D.2	ON237119
157	MW582529_Germany_2015	B.D.2	MW582529
158	ON237116_Argentina_2014	B.D.2	ON237116
159	ON237156_Argentina_2015	B.D.2	ON237156
160	MK749883_Nicaragua_2015	B.D.2	MK749883
161	MK109766_Jordan_2013	B.D.2	MK109766
162	MK109783_Jordan_2013	B.D.2	MK109783
163	MK109784_Jordan_2013	B.D.2	MK109784
164	MK109780_Jordan_2013	B.D.2	MK109780
165	MK109788_Jordan_2013	B.D.2	MK109788
166	MK109778_Jordan_2012	B.D.2	MK109778
167	MK109768_Jordan_2013	B.D.2	MK109768
168	MK109771_Jordan_2013	B.D.2	MK109771
169	ON237131_Argentina_2015	B.D.2	ON237131
170	ON237142_Argentina_2015	B.D.2	ON237142
171	ON237153_Argentina_2015	B.D.2	ON237153
172	KY249668_United-Kingdom_2012	B.D.2	KY249668
173	ON237108_Argentina_2014	B.D.2	ON237108
174	ON237087_Argentina_2014	B.D.2	ON237087
175	KY249663_United-Kingdom_2013	B.D.2	KY249663
176	ON237158_Argentina_2015	B.D.2	ON237158
177	ON237165_Argentina_2015	B.D.2	ON237165
178	MK109767_Jordan_2013	B.D.2	MK109767
179	ON237193_Argentina_2016	B.D.2	ON237193
180	KY249669_United-Kingdom_2012	B.D.2	KY249669
181	KY249671_United-Kingdom_2012	B.D.2	KY249671
182	MH594437_Kenya_2010	B.D.2	MH594437
183	MH594441_Kenya_2010	B.D.2	MH594441
184	MH594426_Kenya_2010	B.D.2	MH594426
185	MH594399_Kenya_2010	B.D.2	MH594399
186	MH594400_Kenya_2010	B.D.2	MH594400
187	MH594390_Kenya_2010	B.D.2	MH594390
188	MH594393_Kenya_2010	B.D.2	MH594393
189	EPI-ISL-6494934_England_2010	B.D.2	EPI-ISL-6494934
190	KY249672_United-Kingdom_2012	B.D.2	KY249672
191	KY249675_United-Kingdom_2012	B.D.2	KY249675
192	KY249676_United-Kingdom_2012	B.D.2	KY249676
193	EPI-ISL-6494945_England_2011	B.D.2	EPI-ISL-6494945
194	EPI-ISL-6494944_England_2011	B.D.2	EPI-ISL-6494944
195	EPI-ISL-6494947_England_2011	B.D.2	EPI-ISL-6494947
196	ON237144_Argentina_2015	B.D.2	ON237144
197	ON237147_Argentina_2015	B.D.2	ON237147
198	ON237098_Argentina_2014	B.D.2	ON237098
199	ON237113_Argentina_2014	B.D.2	ON237113
200	ON237111_Argentina_2014	B.D.2	ON237111
201	ON237100_Argentina_2014	B.D.2	ON237100
202	ON237103_Argentina_2014	B.D.2	ON237103
203	ON237088_Argentina_2014	B.D.2	ON237088
204	EPI-ISL-6494930_England_2010	B.D.2	EPI-ISL-6494930
205	ON237085_Argentina_2014	B.D.2	ON237085
206	ON237090_Argentina_2014	B.D.2	ON237090
207	ON237092_Argentina_2014	B.D.2	ON237092
208	ON237102_Argentina_2014	B.D.2	ON237102
209	ON237121_Argentina_2014	B.D.2	ON237121
210	EPI-ISL-15751943_USA_2014	B.D.2	EPI-ISL-15751943
211	ON237157_Argentina_2015	B.D.2	ON237157
212	ON237093_Argentina_2014	B.D.2	ON237093
213	ON237112_Argentina_2014	B.D.2	ON237112
214	ON237118_Argentina_2014	B.D.2	ON237118
215	ON237140_Argentina_2015	B.D.2	ON237140
216	ON237141_Argentina_2015	B.D.2	ON237141
217	ON237109_Argentina_2014	B.D.2	ON237109
218	KY249658_United-Kingdom_2013	B.D.2	KY249658
219	MK749900_Nicaragua_2013	B.D.2	MK749900
220	OK649727_Brazil_2010	B.D.2	OK649727
221	EPI-ISL-6494936_England_2010	B.D.2	EPI-ISL-6494936
222	MK109764_Jordan_2013	B.D.2	MK109764
223	EPI-ISL-6494942_England_2011	B.D.2	EPI-ISL-6494942
224	MK109779_Jordan_2010	B.D.2	MK109779
225	OK649724_Brazil_2010	B.D.2	OK649724
226	EPI-ISL-6494928_England_2010	B.D.2	EPI-ISL-6494928
227	EPI-ISL-6494929_England_2010	B.D.2	EPI-ISL-6494929
228	OK649723_Brazil_2010	B.D.2	OK649723
229	EPI-ISL-6494927_England_2010	B.D.2	EPI-ISL-6494927
230	EPI-ISL-6494943_England_2011	B.D.2	EPI-ISL-6494943
231	EPI-ISL-6494946_England_2011	B.D.2	EPI-ISL-6494946
232	EPI-ISL-6494907_England_2009	B.D.2	EPI-ISL-6494907
233	EPI-ISL-6494916_England_2009	B.D.2	EPI-ISL-6494916
234	EPI-ISL-6494921_England_2009	B.D.2	EPI-ISL-6494921
235	EPI-ISL-6494940_England_2010	B.D.2	EPI-ISL-6494940
236	OK649710_Brazil_2009	B.D.2	OK649710
237	EPI-ISL-6494897_England_2008	B.D.2	EPI-ISL-6494897
238	EPI-ISL-15751955_Brazil_2010	B.D.2	EPI-ISL-15751955
239	OK649729_Brazil_2010	B.D.2	OK649729
240	EPI-ISL-6494938_England_2010	B.D.2	EPI-ISL-6494938
241	EPI-ISL-15004431_Morocco_2012	B.D.2	EPI-ISL-15004431
242	EPI-ISL-6494931_England_2010	B.D.2	EPI-ISL-6494931
243	EPI-ISL-15751956_Brazil_2010	B.D.2	EPI-ISL-15751956
244	EPI-ISL-6494937_England_2010	B.D.2	EPI-ISL-6494937
245	OK649701_Brazil_2009	B.D.2	OK649701
246	OK649712_Brazil_2009	B.D.2	OK649712
247	EPI-ISL-6494939_England_2010	B.D.2	EPI-ISL-6494939
248	EPI-ISL-15751951_Brazil_2010	B.D.2	EPI-ISL-15751951
249	EPI-ISL-6494948_England_2011	B.D.2	EPI-ISL-6494948
250	EPI-ISL-15751952_Brazil_2010	B.D.3	EPI-ISL-15751952
251	OK649728_Brazil_2010	B.D.3	OK649728
252	EPI-ISL-15751998_Brazil_2009	B.D.3	EPI-ISL-15751998
253	EPI-ISL-15751992_Brazil_2009	B.D.3	EPI-ISL-15751992
254	OK649704_Brazil_2009	B.D.3	OK649704
255	EPI-ISL-15751996_Brazil_2009	B.D.3	EPI-ISL-15751996
256	OK649708_Brazil_2009	B.D.3	OK649708
257	EPI-ISL-15752000_Brazil_2009	B.D.3	EPI-ISL-15752000
258	OK649705_Brazil_2009	B.D.3	OK649705
259	OK649726_Brazil_2010	B.D.3	OK649726
260	EPI-ISL-15751999_Brazil_2009	B.D.3	EPI-ISL-15751999
261	EPI-ISL-6494987_England_2013	B.D.3	EPI-ISL-6494987
262	KY249664_United-Kingdom_2013	B.D.3	KY249664
263	KY249677_United-Kingdom_2012	B.D.3	KY249677
264	EPI-ISL-6494913_England_2009	B.D.3	EPI-ISL-6494913
265	EPI-ISL-6494941_England_2010	B.D.3	EPI-ISL-6494941
266	KY249670_United-Kingdom_2012	B.D.3	KY249670
267	KY249656_United-Kingdom_2014	B.D.3	KY249656
268	ON237089_Argentina_2014	B.D.3	ON237089
269	MK989761_Kenya_2015	B.D.3	MK989761
270	EPI-ISL-6494790_England_2014	B.D.3	EPI-ISL-6494790
271	EPI-ISL-6494791_England_2014	B.D.3	EPI-ISL-6494791
272	KY249667_United-Kingdom_2012	B.D.3	KY249667
273	KY249673_United-Kingdom_2012	B.D.3	KY249673
274	LC385000_Philippines_2015	B.D.3.1	LC385000
275	LC385007_Philippines_2015	B.D.3.1	LC385007
276	EPI-ISL-6494812_England_2016	B.D.3.1	EPI-ISL-6494812
277	LC385001_Philippines_2014	B.D.3.1	LC385001
278	MK109786_Jordan_2012	B.D.3.1	MK109786
279	EPI-ISL-10914986_Australia_2015	B.D.3.1	EPI-ISL-10914986
280	EPI-ISL-6494810_England_2016	B.D.3.1	EPI-ISL-6494810
281	EPI-ISL-6494795_England_2014	B.D.3.1	EPI-ISL-6494795
282	EPI-ISL-6494797_England_2015	B.D.3.1	EPI-ISL-6494797
283	ON237136_Argentina_2015	B.D.3.1	ON237136
284	ON237146_Argentina_2015	B.D.3.1	ON237146
285	ON237151_Argentina_2015	B.D.3.1	ON237151
286	ON237129_Argentina_2015	B.D.3.1	ON237129
287	ON237162_Argentina_2015	B.D.3.1	ON237162
288	ON237167_Argentina_2015	B.D.3.1	ON237167
289	ON237154_Argentina_2015	B.D.3.1	ON237154
290	KY249657_United-Kingdom_2014	B.D.3.1	KY249657
291	ON237114_Argentina_2014	B.D.3.1	ON237114
292	EPI-ISL-15120685_Morocco_2015	B.D.3.1	EPI-ISL-15120685
293	MK109782_Jordan_2013	B.D.3.1	MK109782
294	EPI-ISL-5522629_Cote-dIvoire_2018	B.D.3.1	EPI-ISL-5522629
295	EPI-ISL-6174134_Cote-dIvoire_2017	B.D.3.1	EPI-ISL-6174134
296	MZ516025_Netherlands_2017	B.D.3.1	MZ516025
297	EPI-ISL-5522625_Cote-dIvoire_2017	B.D.3.1	EPI-ISL-5522625
298	EPI-ISL-5522626_Cote-dIvoire_2017	B.D.3.1	EPI-ISL-5522626
299	EPI-ISL-15120734_Morocco_2016	B.D.3.1	EPI-ISL-15120734
300	ON237099_Argentina_2014	B.D.3.1	ON237099
301	ON237130_Argentina_2015	B.D.3	ON237130
302	ON237134_Argentina_2015	B.D.3	ON237134
303	ON237133_Argentina_2015	B.D.3	ON237133
304	ON237159_Argentina_2015	B.D.3	ON237159
305	ON237160_Argentina_2015	B.D.3	ON237160
306	MZ515611_Netherlands_2018	B.D.3.2	MZ515611
307	MZ515868_Netherlands_2018	B.D.3.2	MZ515868
308	MZ515674_Netherlands_2018	B.D.3.2	MZ515674
309	ON237179_Argentina_2016	B.D.3.2	ON237179
310	ON237204_Argentina_2016	B.D.3.2	ON237204
311	EPI-ISL-15120762_Morocco_2017	B.D.3.2	EPI-ISL-15120762
312	LR699726_United-Kingdom_2017	B.D.3.2	LR699726
313	ON237177_Argentina_2016	B.D.3.2	ON237177
314	ON237198_Argentina_2016	B.D.3.2	ON237198
315	ON237191_Argentina_2016	B.D.3.2	ON237191
316	ON237200_Argentina_2016	B.D.3.2	ON237200
317	ON237186_Argentina_2016	B.D.3.2	ON237186
318	ON237201_Argentina_2016	B.D.3.2	ON237201
319	ON237207_Argentina_2016	B.D.3.2	ON237207
320	MZ515574_Netherlands_2018	B.D.3.2	MZ515574
321	ON237184_Argentina_2016	B.D.3.2	ON237184
322	ON237178_Argentina_2016	B.D.3.2	ON237178
323	ON237196_Argentina_2016	B.D.3.2	ON237196
324	ON237181_Argentina_2016	B.D.3.2	ON237181
325	ON237180_Argentina_2016	B.D.3.2	ON237180
326	ON237194_Argentina_2016	B.D.3.2	ON237194
327	ON237209_Argentina_2016	B.D.3.2	ON237209
328	ON237192_Argentina_2016	B.D.3.2	ON237192
329	ON237174_Argentina_2016	B.D.3.2	ON237174
330	ON237182_Argentina_2016	B.D.3.2	ON237182
331	ON237199_Argentina_2016	B.D.3.2	ON237199
332	ON237185_Argentina_2016	B.D.3.2	ON237185
333	ON237197_Argentina_2016	B.D.3.2	ON237197
334	ON237173_Argentina_2016	B.D.3.2	ON237173
335	ON237206_Argentina_2016	B.D.3.2	ON237206
336	LC488177_Japan_2016	B.D.3.2	LC488177
337	EPI-ISL-6494826_England_2016	B.D.3.2	EPI-ISL-6494826
338	MZ515554_Netherlands_2017	B.D.3.2	MZ515554
339	EPI-ISL-16714592_England_2022	B.D.3.2	EPI-ISL-16714592
340	EPI-ISL-16714315_England_2021	B.D.3.2	EPI-ISL-16714315
341	EPI-ISL-16714730_England_2022	B.D.3.2	EPI-ISL-16714730
342	OK500261_France_2021	B.D.3.2	OK500261
343	OK500263_France_2021	B.D.3.2	OK500263
344	EPI-ISL-15120795_Morocco_2019	B.D.3.2	EPI-ISL-15120795
345	EPI-ISL-6174137_Cote-dIvoire_2018	B.D.3.2	EPI-ISL-6174137
346	MK749871_Nicaragua_2015	B.D.3.2	MK749871
347	MK749892_Nicaragua_2015	B.D.3.2	MK749892
348	MK749872_Nicaragua_2016	B.D.3.2	MK749872
349	MK749898_Nicaragua_2015	B.D.3.2	MK749898
350	MK749902_Nicaragua_2015	B.D.3.2	MK749902
351	EPI-ISL-4569432_Australia_2015	B.D.3.2	EPI-ISL-4569432
352	EPI-ISL-15120752_Morocco_2017	B.D.3.2	EPI-ISL-15120752
353	ON237148_Argentina_2015	B.D.3.2	ON237148
354	ON237217_Argentina_2017	B.D.3.2	ON237217
355	ON237150_Argentina_2015	B.D.3.2	ON237150
356	ON237168_Argentina_2015	B.D.3.2	ON237168
357	LC384999_Philippines_2014	B.D.3.2	LC384999
358	LC385005_Philippines_2014	B.D.3.2	LC385005
359	MK749873_Nicaragua_2015	B.D.3.2	MK749873
360	MK749881_Nicaragua_2015	B.D.3.2	MK749881
361	MK749877_Nicaragua_2015	B.D.3.2	MK749877
362	MK749891_Nicaragua_2015	B.D.3.2	MK749891
363	MK749899_Nicaragua_2016	B.D.3.2	MK749899
364	ON237084_Argentina_2014	B.D.3.2	ON237084
365	ON237122_Argentina_2014	B.D.3.2	ON237122
366	ON237091_Argentina_2014	B.D.3.2	ON237091
367	ON237127_Argentina_2014	B.D.3.2	ON237127
368	ON237152_Argentina_2015	B.D.3.2	ON237152
369	ON237125_Argentina_2014	B.D.3.2	ON237125
370	LC384997_Philippines_2014	B.D.3.2	LC384997
371	EPI-ISL-6494804_England_2015	B.D.3.2	EPI-ISL-6494804
372	EPI-ISL-15120705_Morocco_2016	B.D.3.2	EPI-ISL-15120705
373	EPI-ISL-15120707_Morocco_2016	B.D.3.2	EPI-ISL-15120707
374	KY249683_United-Kingdom_2016	B.D.3.2	KY249683
375	EPI-ISL-6494803_England_2015	B.D.3.2	EPI-ISL-6494803
376	KY249681_United-Kingdom_2016	B.D.3.2	KY249681
377	MZ515587_Netherlands_2018	B.D.3.2	MZ515587
378	MZ515996_Netherlands_2018	B.D.3.2	MZ515996
379	MZ515793_Netherlands_2017	B.D.3.2	MZ515793
380	MZ515869_Netherlands_2018	B.D.3.2	MZ515869
381	MZ516126_Netherlands_2017	B.D.3.2	MZ516126
382	EPI-ISL-15120764_Morocco_2017	B.D.3.2	EPI-ISL-15120764
383	ON237166_Argentina_2015	B.D.3.2	ON237166
384	ON237203_Argentina_2016	B.D.3.2	ON237203
385	ON237176_Argentina_2016	B.D.3.2	ON237176
386	ON237189_Argentina_2016	B.D.3.2	ON237189
387	ON237183_Argentina_2016	B.D.3.2	ON237183
388	EPI-ISL-6494814_England_2016	B.D.3.2	EPI-ISL-6494814
389	EPI-ISL-15120757_Morocco_2017	B.D.3.2	EPI-ISL-15120757
390	EPI-ISL-15120761_Morocco_2017	B.D.3.2	EPI-ISL-15120761
391	EPI-ISL-15120756_Morocco_2017	B.D.3.2	EPI-ISL-15120756
392	EPI-ISL-15120769_Morocco_2017	B.D.3.2	EPI-ISL-15120769
393	EPI-ISL-15120765_Morocco_2017	B.D.3.2	EPI-ISL-15120765
394	LR699738_Spain_2018	B.D.3.2	LR699738
395	LR699740_Spain_2018	B.D.3.2	LR699740
396	LR699739_Spain_2018	B.D.3.2	LR699739
397	LR699741_Spain_2017	B.D.3.2	LR699741
398	EPI-ISL-6494827_England_2016	B.D.3.2	EPI-ISL-6494827
399	ON237211_Argentina_2017	B.D.3.2	ON237211
400	MH327947_India_2017	B.D.3.2	MH327947
401	MZ515918_Netherlands_2017	B.D.3.2	MZ515918
402	EPI-ISL-6494798_England_2015	B.D.3.2	EPI-ISL-6494798
403	MK989762_Kenya_2015	B.D.3.2	MK989762
404	MZ515764_Netherlands_2019	B.D.3.2	MZ515764
405	EPI-ISL-15120722_Morocco_2016	B.D.3.2	EPI-ISL-15120722
406	LR699735_United-Kingdom_2017	B.D.3.2	LR699735
407	MZ515924_United-Kingdom_2018	B.D.3.2	MZ515924
408	EPI-ISL-6494799_England_2015	B.D.3.2	EPI-ISL-6494799
409	KY249682_United-Kingdom_2016	B.D.3.2	KY249682
410	EPI-ISL-6494825_England_2016	B.D.3.2	EPI-ISL-6494825
411	MZ515831_Netherlands_2018	B.D.3.2	MZ515831
